"season","title","rating","number_of_rating","summary"
"Season 1","Human Flesh","7.7","(1,763)"," On top of watching his dysfunctional family crumble around him, Bob faces the wrath of a jealous health inspector who cooks up a nasty rumor about the restaurant's choice of meat.    "
"Season 1","Crawl Space","8.1","(1,566)"," His in-laws are coming into town, and Bob tries desperately to concoct a plan to avoid them for as long as he can. Unfortunately, Bob did not plan to get stuck in the recesses of the family restaurant.    "
"Season 1","Sacred Cow","7.5","(1,363)"," A filmmaker placed a cow outside the restaurant to make a statement, which angers Bob, but his family is confused over how he treats the cow.    "
"Season 1","Sexy Dance Fighting","7.4","(1,308)"," When Tina develops a crush on the new martial arts instructor in town, she joins the class and ends up shirking her responsibilities at the restaurant. Bob finds out what's going on and decides to take matters into his own hands.    "
"Season 1","Hamburger Dinner Theater","7.5","(1,267)"," Linda is dying to relive her dream of becoming a star on Broadway, so she decides to host a dinner theater at the restaurant. But on opening night a shocking surprise leaves Linda with a more chilling production than she planned for.    "
"Season 1","Sheesh! Cab, Bob?","8.3","(1,418)"," Bob takes a second job as a nighttime cab driver so he can give Tina the 13th birthday party she deserves, and he makes some surprising new friends along the ride.    "
"Season 1","Bed & Breakfast","7.6","(1,186)"," Linda gets really excited about opening a Bed and Breakfast to capitalize on the high volume of tourists coming into town, but when the guests start to arrive Louise senses espionage afoot.    "
"Season 1","Art Crawl","7.9","(1,268)"," Linda's eccentric sister Gayle comes to town intending to use the restaurant as a gallery for her paintings during this year's ""Art Crawl."" Bob is left totally oblivious the comically explicit nature of Gayle's artwork until it's too late.    "
"Season 1","Spaghetti Western and Meatballs","7.6","(1,132)"," Bob and Gene bond over spaghetti western movies, which makes Louise jealous.    "
"Season 1","Burger War","7.7","(1,099)"," Bob's landlord has been understanding about the consistent delay in rent, but payment time has come. After getting wind of Bob's financial trouble, Jimmy Pesto faces-off against his mortal enemy by introducing burgers to his own menu.    "
"Season 1","Weekend at Mort's","8.0","(1,133)"," The family has to stay next door at Mort the Mortician's house since the restaurant is infested with mold. Bob and Linda double date with Mort and his mysterious Internet-girlfriend; while Tina entertains her siblings in the crematorium.    "
"Season 1","Lobsterfest","7.6","(1,079)"," Bob is likely the only person in town excited about the cancellation of this years ""Lobsterfest"" due to inclement weather. Bob strikes gold when he opens the restaurant regardless of the storm, and is celebrated by the masses.    "
"Season 1","Torpedo","7.6","(1,082)"," Bob is giddy as ever when his role model, minor league pitcher Torpedo Jones, gives a shout-out to the restaurant during a game, but is blind-sided upon finding out Torpedo endorses his burgers for reasons which are morally shaky at best.    "
"Season 2","The Belchies","8.2","(1,198)"," The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory's scheduled demolition.    "
"Season 2","Bob Day Afternoon","8.6","(1,336)"," A bank robber holds up a bank across the street from Bob's Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis.    "
"Season 2","Synchronized Swimming","7.4","(1,057)"," The Belcher children sign up for an independent study of synchronized swimming in lieu on participating in gym class. Linda disturbingly watches ""pregnant yoga"" and comes to the rescue of her children in the end.    "
"Season 2","Burgerboss","8.2","(1,148)"," Bob becomes a gamer.    "
"Season 2","Food Truckin'","7.8","(1,060)"," Bob gives the food truck business a try.    "
"Season 2","Dr. Yap","7.5","(1,039)"," When a drugged Bob kisses Gayle thinking she's Linda, Gayle develops a crush on him.    "
"Season 2","Moody Foodie","7.7","(1,029)"," A bad review leads to drastic actions.    "
"Season 2","Bad Tina","8.0","(1,083)"," Tina pals around with a bad girl.    "
"Season 2","Beefsquatch","7.7","(1,038)"," Bob gets thrilled when he gets offered to be in a cookery segment in a local morning show. When Gene steps into the limelight, the audience is not entertained and enthralled by Bob's performance.    "
"Season 3","Ear-Sy Rider","8.1","(1,081)"," While a biker gang begins hanging out at the restaurant, Louise goes through a crisis after a teenager steals her bunny ear hat.    "
"Season 3","Full Bars","8.3","(1,082)"," On Halloween, the kids run into bullies when they go trick-or-treating in the rich neighborhood, while Bob and Linda attend a party where someone kills Teddy's pet guinea pig.    "
"Season 3","Bob Fires the Kids","8.0","(1,074)"," Fearing that he is ruining their childhoods, Bob fires the kids from their jobs at the restaurant, but they just end up working for hippies who run a marijuana farm, instead.    "
"Season 3","Mutiny on the Windbreaker","7.5","(994)"," Bob brings the family along when he is hired to be a chef on a docked cruise ship, so they can see his skills outside the restaurant.    "
"Season 3","An Indecent Thanksgiving Proposal","8.2","(1,043)"," In order to entice an old flame who is only attracted to married men, Mr. Fischoeder bribes Bob into letting him pass off Linda and the kids as his own family, but the situation ruins all of Bob's Thanksgiving traditions.    "
"Season 3","The Deepening","7.8","(968)"," Mr. Fischoeder buys a mechanical movie shark as an attraction for his amusement park, but the kids accidentally let it loose on the town, forcing Bob and Teddy to save the day.    "
"Season 3","Tina-Rannosaurus Wrecks","8.3","(1,122)"," Tina is wracked with guilt when Bob forces her to lie about an accident that occurred when he let her drive his car, but a shady insurance adjuster sees through their ploy and blackmails Bob into committing more insurance fraud.    "
"Season 3","The Unbearable Like-Likeness of Gene","7.7","(952)"," An incredibly annoying girl develops a crush on Gene, but he can't bring himself to dump her after he finds out her father has a music studio in their home.    "
"Season 3","Bob Rest Ye Merry Gentle-Mannequins","7.8","(979)"," 'Tis the season for strange holiday mannequins.    "
"Season 3","Mother Daughter Laser Razor","8.0","(994)"," Linda struggles to connect with Louise when they attend a mother-daughter seminar, while Bob takes Tina to get her legs waxed.    "
"Season 3","Nude Beach","7.5","(961)"," It's dingles and dongles and birthday suits.    "
"Season 3","Broadcast Wagstaff School News","8.4","(1,104)"," Tina is on a mission to unmask the middle school and Gene decides to dress up like Bob    "
"Season 3","My Fuzzy Valentine","7.5","(878)"," Bob gets romantic.    "
"Season 3","Lindapendent Woman","7.8","(914)"," Linda quits the restaurant and takes up a job at a grocery store.    "
"Season 3","O.T.: The Outside Toilet","8.2","(1,031)"," Eugene encounters a mysterious talking toilet.    "
"Season 3","Topsy","8.4","(1,104)"," The Belcher kids take on a Thomas Edison fanatic.    "
"Season 3","Two for Tina","8.0","(923)"," Tina finds herself in a love triangle.    "
"Season 3","It Snakes a Village","7.7","(897)"," Bob and the family take a swinging vacation.    "
"Season 3","Family Fracas","7.3","(943)"," The Belchers appear on a television game show.    "
"Season 3","The Kids Run the Restaurant","8.1","(918)"," When Linda takes Bob to the hospital after cutting his finger, the kids turn the basement into an underground casino.    "
