"season","title","rating","number_of_rating","summary","episode_number"
"1","Human Flesh",7.7,1768," On top of watching his dysfunctional family crumble around him, Bob faces the wrath of a jealous health inspector who cooks up a nasty rumor about the restaurant's choice of meat.    ",1
"1","Crawl Space",8.1,1570," His in-laws are coming into town, and Bob tries desperately to concoct a plan to avoid them for as long as he can. Unfortunately, Bob did not plan to get stuck in the recesses of the family restaurant.    ",2
"1","Sacred Cow",7.5,1366," A filmmaker placed a cow outside the restaurant to make a statement, which angers Bob, but his family is confused over how he treats the cow.    ",3
"1","Sexy Dance Fighting",7.4,1311," When Tina develops a crush on the new martial arts instructor in town, she joins the class and ends up shirking her responsibilities at the restaurant. Bob finds out what's going on and decides to take matters into his own hands.    ",4
"1","Hamburger Dinner Theater",7.5,1269," Linda is dying to relive her dream of becoming a star on Broadway, so she decides to host a dinner theater at the restaurant. But on opening night a shocking surprise leaves Linda with a more chilling production than she planned for.    ",5
"1","Sheesh! Cab, Bob?",8.3,1421," Bob takes a second job as a nighttime cab driver so he can give Tina the 13th birthday party she deserves, and he makes some surprising new friends along the ride.    ",6
"1","Bed & Breakfast",7.6,1188," Linda gets really excited about opening a Bed and Breakfast to capitalize on the high volume of tourists coming into town, but when the guests start to arrive Louise senses espionage afoot.    ",7
"1","Art Crawl",7.9,1270," Linda's eccentric sister Gayle comes to town intending to use the restaurant as a gallery for her paintings during this year's ""Art Crawl."" Bob is left totally oblivious the comically explicit nature of Gayle's artwork until it's too late.    ",8
"1","Spaghetti Western and Meatballs",7.6,1134," Bob and Gene bond over spaghetti western movies, which makes Louise jealous.    ",9
"1","Burger War",7.7,1101," Bob's landlord has been understanding about the consistent delay in rent, but payment time has come. After getting wind of Bob's financial trouble, Jimmy Pesto faces-off against his mortal enemy by introducing burgers to his own menu.    ",10
"1","Weekend at Mort's",8,1135," The family has to stay next door at Mort the Mortician's house since the restaurant is infested with mold. Bob and Linda double date with Mort and his mysterious Internet-girlfriend; while Tina entertains her siblings in the crematorium.    ",11
"1","Lobsterfest",7.6,1081," Bob is likely the only person in town excited about the cancellation of this years ""Lobsterfest"" due to inclement weather. Bob strikes gold when he opens the restaurant regardless of the storm, and is celebrated by the masses.    ",12
"1","Torpedo",7.6,1085," Bob is giddy as ever when his role model, minor league pitcher Torpedo Jones, gives a shout-out to the restaurant during a game, but is blind-sided upon finding out Torpedo endorses his burgers for reasons which are morally shaky at best.    ",13
"2","The Belchies",8.2,1199," The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory's scheduled demolition.    ",14
"2","Bob Day Afternoon",8.6,1340," A bank robber holds up a bank across the street from Bob's Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis.    ",15
"2","Synchronized Swimming",7.4,1060," The Belcher children sign up for an independent study of synchronized swimming in lieu on participating in gym class. Linda disturbingly watches ""pregnant yoga"" and comes to the rescue of her children in the end.    ",16
"2","Burgerboss",8.2,1151," Bob becomes a gamer.    ",17
"2","Food Truckin'",7.8,1062," Bob gives the food truck business a try.    ",18
"2","Dr. Yap",7.5,1041," When a drugged Bob kisses Gayle thinking she's Linda, Gayle develops a crush on him.    ",19
"2","Moody Foodie",7.7,1032," A bad review leads to drastic actions.    ",20
"2","Bad Tina",8,1087," Tina pals around with a bad girl.    ",21
"2","Beefsquatch",7.7,1042," Bob gets thrilled when he gets offered to be in a cookery segment in a local morning show. When Gene steps into the limelight, the audience is not entertained and enthralled by Bob's performance.    ",22
"3","Ear-Sy Rider",8.1,1085," While a biker gang begins hanging out at the restaurant, Louise goes through a crisis after a teenager steals her bunny ear hat.    ",23
"3","Full Bars",8.3,1089," On Halloween, the kids run into bullies when they go trick-or-treating in the rich neighborhood, while Bob and Linda attend a party where someone kills Teddy's pet guinea pig.    ",24
"3","Bob Fires the Kids",8,1079," Fearing that he is ruining their childhoods, Bob fires the kids from their jobs at the restaurant, but they just end up working for hippies who run a marijuana farm, instead.    ",25
"3","Mutiny on the Windbreaker",7.5,998," Bob brings the family along when he is hired to be a chef on a docked cruise ship, so they can see his skills outside the restaurant.    ",26
"3","An Indecent Thanksgiving Proposal",8.2,1050," In order to entice an old flame who is only attracted to married men, Mr. Fischoeder bribes Bob into letting him pass off Linda and the kids as his own family, but the situation ruins all of Bob's Thanksgiving traditions.    ",27
"3","The Deepening",7.8,972," Mr. Fischoeder buys a mechanical movie shark as an attraction for his amusement park, but the kids accidentally let it loose on the town, forcing Bob and Teddy to save the day.    ",28
"3","Tina-Rannosaurus Wrecks",8.3,1125," Tina is wracked with guilt when Bob forces her to lie about an accident that occurred when he let her drive his car, but a shady insurance adjuster sees through their ploy and blackmails Bob into committing more insurance fraud.    ",29
"3","The Unbearable Like-Likeness of Gene",7.7,954," An incredibly annoying girl develops a crush on Gene, but he can't bring himself to dump her after he finds out her father has a music studio in their home.    ",30
"3","Bob Rest Ye Merry Gentle-Mannequins",7.8,982," 'Tis the season for strange holiday mannequins.    ",31
"3","Mother Daughter Laser Razor",8,996," Linda struggles to connect with Louise when they attend a mother-daughter seminar, while Bob takes Tina to get her legs waxed.    ",32
"3","Nude Beach",7.5,963," It's dingles and dongles and birthday suits.    ",33
"3","Broadcast Wagstaff School News",8.4,1108," Tina is on a mission to unmask the middle school and Gene decides to dress up like Bob    ",34
"3","My Fuzzy Valentine",7.5,881," Bob gets romantic.    ",35
"3","Lindapendent Woman",7.8,916," Linda quits the restaurant and takes up a job at a grocery store.    ",36
"3","O.T.: The Outside Toilet",8.2,1035," Eugene encounters a mysterious talking toilet.    ",37
"3","Topsy",8.4,1106," The Belcher kids take on a Thomas Edison fanatic.    ",38
"3","Two for Tina",8,926," Tina finds herself in a love triangle.    ",39
"3","It Snakes a Village",7.7,899," Bob and the family take a swinging vacation.    ",40
"3","Family Fracas",7.3,947," The Belchers appear on a television game show.    ",41
"3","The Kids Run the Restaurant",8.1,922," When Linda takes Bob to the hospital after cutting his finger, the kids turn the basement into an underground casino.    ",42
"3","Boyz 4 Now",8.5,1117," Louise is horrified when she develops her first crush.    ",43
"3","Carpe Museum",8.2,957," A school trip to the museum turns wild for the Belchers.    ",44
